Species found on,Species in trial,vill mm2eaten,alle mm2eaten,date,year
alle,alle/vill,43,5,6/19/22,2022
alle,alle/vill,37,1,6/19/22,2022
alle,alle/vill,30,5,6/21/22,2022
alle,alle/vill,3,0,7/1/22,2022
alle,alle/vill,0,1,7/1/22,2022
guan,alle,-,2,7/6/19,2019
guan,alle,-,4,7/6/19,2019
guan,vill,8,-,7/6/19,2019
guan,alle/vill,1,6,5/26/22,2022
guan,alle/vill,1,7,5/26/22,2022
guan,alle/vill,0,13,5/26/22,2022
guan,alle/vill,0,2,5/26/22,2022
guan,alle/vill,6,0,6/19/22,2022
guan,alle/vill,0,6,6/19/22,2022
guan,alle/vill,4,0,6/19/22,2022
guan,vill,6,-,7/6/19,2019
laev,vill,35,-,7/6/19,2019
laev,alle/vill,2,0,7/1/22,2022
laev,alle,-,11,7/6/19,2019
scaber,alle,-,19,7/6/19,2019
scaber,alle/vill,16,0,6/21/22,2022
scaber,alle/vill,18,42,6/21/22,2022
scaber,alle/vill,5,12,6/21/22,2022
scaber,alle/vill,0,10,6/21/22,2022
scaber,alle/vill,9,4,6/21/22,2022
scaber,vill,11,-,7/6/19,2019
scaber,vill,5,-,7/6/19,2019
scaber,vill,0,-,7/9/19,2019
scaber,vill,1,-,7/9/19,2019
scaber,vill,7,-,7/9/19,2019
scaber,vill,17,-,7/9/19,2019
scaber,vill,1,-,7/9/19,2019
scaber,vill,0,-,7/9/19,2019
scaber,alle/vill,0,2,7/9/19,2019
scaber,alle/vill,22,0,7/9/19,2019
scaber,alle/vill,1,2,7/9/19,2019
scaber,alle/vill,0,0,7/9/19,2019
scaber,alle/vill,23,0,7/9/19,2019
scaber,alle/vill,0,0,7/9/19,2019
scaber,alle/vill,13,0,7/9/19,2019
scaber,alle/vill,0,7,7/9/19,2019
scaber,alle/vill,24,7,7/9/19,2019
scaber,alle/vill,0,0,7/9/19,2019
scaber,alle/vill,5,0,7/9/19,2019
scaber,alle/vill,0,0,7/9/19,2019
scaber,alle/vill,10,25,7/9/19,2019
scaber,alle/vill,0,0,7/9/19,2019
scaber,alle/vill,3,1,7/9/19,2019
scaber,alle/vill,16,0,7/9/19,2019
scaber,alle/vill,1,1,7/9/19,2019
scaber,alle/vill,0,0,7/9/19,2019
scaber,alle,-,3,7/11/19,2019
scaber,alle,-,1,7/11/19,2019
scaber,alle,-,0,7/11/19,2019
scaber,alle,-,2,7/11/19,2019
scaber,alle,-,0,7/11/19,2019
scaber,alle,-,0,7/11/19,2019
scaber,alle/vill,0,0,7/11/19,2019
scaber,alle/vill,17,20,7/11/19,2019
scaber,vill,28,-,7/12/19,2019
scaber,vill,0,-,7/12/19,2019
scaber,vill,11,-,7/12/19,2019
scaber,vill,6,-,7/12/19,2019
scaber,vill,13,-,7/12/19,2019
scaber,vill,0,-,7/12/19,2019
scaber,vill,0,-,7/12/19,2019
scaber,vill,0,-,7/12/19,2019
scaber,vill,0,-,7/12/19,2019
scaber,vill,0,-,7/12/19,2019
scaber,vill,0,-,7/12/19,2019
scaber,vill,7,-,7/12/19,2019
scaber,vill,11,-,7/12/19,2019
scaber,alle,-,23,7/12/19,2019
scaber,alle,-,12,7/12/19,2019
scaber,alle,-,1,7/13/19,2019
scaber,alle,-,0,7/13/19,2019
scaber,alle,-,1,7/13/19,2019
scaber,alle,-,3,7/13/19,2019
scaber,alle,-,0,7/13/19,2019
scaber,alle,-,0,7/13/19,2019
scaber,alle,-,0,7/13/19,2019
scaber,alle,-,0,7/13/19,2019
scaber,alle,-,24,7/13/19,2019
scaber,alle,-,12,7/13/19,2019
scaber,alle,-,4,7/13/19,2019
scaber,alle,-,14,7/13/19,2019
scaber,alle/vill,4,0,5/27/22,2022
scaber,alle/vill,1,3,5/27/22,2022
scaber,alle/vill,4,0,5/27/22,2022
scaber,alle/vill,9,4,6/16/22,2022
scaber,alle/vill,3,0,6/16/22,2022
scaber,alle/vill,5,7,6/18/22,2022
scaber,alle/vill,1,4,6/18/22,2022
scaber,alle/vill,4,0,6/18/22,2022
scaber,alle/vill,29,0,6/18/22,2022
