,date,recordedBy,recordNumber,identifiedBy,scientificName,acceptedScientificName,decimalLatitude,decimalLongitude,locality,countryCode,basisOfRecord,institutionCode,species,gbifID,scientificNameVerbatum,identificationQualifier,hasGeospatialIssues,ownerInstitutionCode,informationWithheld,genericName,specificEpithet,infraspecificEpithet
1,6-Feb-75,Plowman and Davis,5011,Maas,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-12.91,-71.4,Cuzco Prov Paucartambo. Near Pilcopata on road Pilcopata-Patris,Peru,specimen,NY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Jul-78,Terborgh and Foster,6579,Maas,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-11.89,-71.41,Rio Manu: Cocha Cashu Station,Peru,specimen,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,,Pires and Black,961,Maas,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-4.26,-69.93,Tabatinga,Brazil,specimen,IAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2002-11-15T00:00:00Z,A. P. Maceda,,P. J. M. Maas & H. Maas,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-12.57,-70.1,,PE,PRESERVED_SPECIMEN,BRIT,NA,80071550,Costus acreanus,,FALSE,,,Costus,acreanus,
5,1999-03-23T00:00:00Z,Daly DC; et al.,,Maas PJM; Maas-van de Kamer H,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-9.116667,-70.166667,,BR,PRESERVED_SPECIMEN,,NA,1137882083,Costus acreanus (Loes.) Maas,,FALSE,,,Costus,acreanus,
6,1999-03-23T00:00:00Z,Douglas C. Daly,Daly 9990,P.J.M. Maas,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-9.13027,-70.17694,"Mun. Santa Rosa: Rio Purus, left bank, Seringal Santa Helena. Restinga-forest on high terrace, level terain, reportedly regenerating form dominant arborescent bamboo die-back 2-3 years ago.",BR,PRESERVED_SPECIMEN,MO,NA,1260755471,Costus acreanus (Loes.) Maas,,FALSE,MOBOT,,Costus,acreanus,
7,1999-03-23T00:00:00Z,"D. C. Daly; H. Kuchmeister, D. G. da Silva, L. Lima & E. Consuelo",,P.J.M. Maas,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-9.130278,-70.176944,"Mun. Santa Rosa: Rio Purus, left bank, Seringal Santa Helena.",BR,PRESERVED_SPECIMEN,JBRJ,NA,1424241415,Costus acreanus (Loes.) Maas,,FALSE,,,Costus,acreanus,
8,1999-03-23T00:00:00Z,D. C. Daly,9990,P. J. M. Maas; H. Maas-van de Kamer,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-9.1303,-70.1769,"Rio Purus, left bank, Seringal Santa Helena.",BR,PRESERVED_SPECIMEN,NY,NA,1927803518,Costus acreanus (Loes.) Maas,,FALSE,,,Costus,acreanus,
9,1991-12-04T00:00:00Z,Lima L de; Saraiva R,,Maas PJM; Maas-van de Kamer H,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-9.116667,-72.7,"Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 2.",BR,PRESERVED_SPECIMEN,,NA,1138903767,Costus acreanus (Loes.) Maas,,FALSE,,,Costus,acreanus,
10,1991-12-04T00:00:00Z,L. A. de Lima,204,P. J. M. Maas,Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-9.12,-72.7,"Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 2.",BR,PRESERVED_SPECIMEN,NY,NA,1929825122,Costus acreanus (Loes.) Maas,,FALSE,,,Costus,acreanus,
11,2002-11-08T00:00:00Z,Isau Huamantupa,Huamantupa Chuquimaco 2485,P. J. M. Maas & H. Maas (WAG),Costus acreanus (Loes.) Maas,Costus acreanus (Loes.) Maas,-13.166667,-72.35,"Dist. Ollantaytambo, Huaytampo.",PE,PRESERVED_SPECIMEN,MO,NA,1257689298,Costus acreanus (Loes.) Maas,,FALSE,MOBOT,,Costus,acreanus,
