ID,species,edge,middle,near.vein,ave
JH250,vill,61,104,102,89
JH249,vill,96,94,110,100
JH248,vill,116,106,116,112.6666667
JH246?,vill,80,86,94,86.66666667
unk,vill,100,100,124,108
unk,vill,92,70,84,82
JH244,vill,78,106,109,97.66666667
GG06,vill,96,80,119,98.33333333
GG07,vill,84,92,112,96
JH246,vill,104,80,106,96.66666667
JH174,vill,82,88,100,90
JH186,vill,85,102,85,90.66666667
KK139,alle,202,204,209,205
KK141,alle,192,206,158,185.3333333
KK115,alle,124,140,154,139.3333333
KK156,alle,110,126,119,118.3333333
KK159,alle,144,162,168,158
KK116,alle,110,122,140,124
KK147,alle,111,94,132,112.3333333
KK153,alle,111,116,100,109
KK114,alle,119,109,128,118.6666667
unk,alle,70,106,108,94.66666667
unk,alle,112,110,112,111.3333333
KK149,alle,98,98,117,104.3333333
KK119,alle,120,118,110,116
KK118,alle,142,202,262,202
KK117,alle,102,136,156,131.3333333
KK160,alle,130,148,150,142.6666667
KK146,alle,112,134,150,132
KK151,alle,194,214,206,204.6666667
unk,vill,104,130,118,117.3333333
unk,vill,92,116,160,122.6666667
unk,vill,88,92,132,104
unk,vill,84,130,202,138.6666667
unk,vill,106,124,160,130
unk,vill,106,110,130,115.3333333
unk,vill,54,69,86,69.66666667
unk,vill,154,168,196,172.6666667
